,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
907,Vicente Luque,180.34,Niko Price,182.88,2.54,Vicente Luque,alto
908,Anthony Pettis,177.8,Donald Cerrone,185.42,7.62,Anthony Pettis,alto
909,Aleksei Oleinik,187.96,Fabricio Werdum,193.04,5.08,Aleksei Oleinik,alto
910,Carla Esparza,154.94,Michelle Waterson,160.02,5.08,Carla Esparza,alto
911,Uriah Hall,182.88,Jacare Souza,185.42,2.54,Uriah Hall,alto
912,Henry Cejudo,162.56,Dominick Cruz,172.72,10.16,Henry Cejudo,alto
913,Amanda Ribas,160.02,Randa Markos,162.56,2.54,Amanda Ribas,alto
914,Weili Zhang,162.56,Joanna Jedrzejczyk,167.64,5.08,Weili Zhang,alto
915,Mark Madsen,172.72,Austin Hubbard,177.8,5.08,Mark Madsen,alto
916,Rodolfo Vieira,182.88,Saparbeg Safarov,185.42,2.54,Rodolfo Vieira,alto
917,Felicia Spencer,167.64,Zarah Fairn,172.72,5.08,Felicia Spencer,alto
